49,16700 Evergreen,22095679,DMC Consultants,7861.4,HHF,No,1,North Rosedale Park,42.411668,-83.23759
50,6349 Pilgrim,16007375,Able Demolition,7347.75,HHF,No,2,Fitzgerald/Marygrove,42.407327,-83.14149300000001
51,6345 Pilgrim,16007374,Homrich,9800.0,HHF,No,2,Fitzgerald/Marygrove,42.407328,-83.14138100000001
52,18246 Kentfield,22100353,MCM,9247.0,HHF,No,1,Holcomb Community,42.423706,-83.24124300000001
53,551 Chandler,3001994,ABC Demolition,16750.0,HHF,No,5,North End,42.376805,-83.06921899999999
54,19382 Healy,13017701,Able Demolition,15303.0,HHF,No,3,Farwell,42.437075,-83.055715
55,2921 Hudson,12000860,Blue Star,19800.1,HHF,No,5,NW Goldberg,42.351409999999994,-83.097619
56,557 Englewood,3002916,Homrich,17956.36,HHF,No,5,Gateway Community,42.394765,-83.080979
57,9191 Chrysler,5004025,Gayanga Co,17950.0,Non-HHF,No,5,North End,42.388556,-83.070288
58,9195 Cameron,5004508,DMC Consultants,17698.0,HHF,No,5,North End,42.387952,-83.07208100000001
59,1514 Hazelwood,6002161,Den-Man Contractors,4530.0,Non-HHF,No,5,Herman Kiefer,42.376375,-83.09472199999999
60,19965 Lumpkin,9015318,"Adamo Group, Inc.",6942.0,Non-HHF,No,3,Nolan,42.441254,-83.081065
61,20473 Yacama,9023125,Gayanga Co,21083.0,Non-HHF,No,3,Nolan,42.445743,-83.097717
62,19220 Eureka,13018359,Able Demolition,16036.41,HHF,No,3,Farwell,42.434971999999995,-83.057572
63,15833 Muirland,12011863,Blue Star,23635.2,HHF,No,2,Pilgrim Village,42.408321,-83.13382299999999
64,15015 Muirland,12011935,Blue Star,30437.1,HHF,No,2,Dexter-Fenkell,42.400971000000006,-83.133466
65,2690 Clements,10004270,Smalley,125.0,HHF,No,2,Oakman Blvd Community,42.393458,-83.12434499999999
66,4437 18th St,10007833-4,Blue Star,17550.0,HHF,No,6,Core City,42.344107,-83.089699
67,19966 Omira,9022793,Gayanga Co,16225.0,Non-HHF,No,3,Nolan,42.440751,-83.095915
68,220 Cedarhurst Pl,1004873,Leadhead Construction,26130.32,HHF,No,2,Grixdale Farms,42.420888,-83.10598900000001
69,102 Cedarhurst Pl,1004886,"Adamo Group, Inc.",28484.0,Non-HHF,No,2,Grixdale Farms,42.421587,-83.10404
70,40 W Montana,1005273,Leadhead Construction,13597.32,HHF,No,2,Grixdale Farms,42.423897,-83.10278100000001
71,75 W Nevada,1005351,Leadhead Construction,17218.32,HHF,No,2,Grixdale Farms,42.424279999999996,-83.103553
72,145 W Nevada,1005362,Leadhead Construction,30945.32,HHF,No,2,Grixdale Farms,42.424240999999995,-83.104885
73,7044 Arcola,15002592,Able Demolition,11564.5,Non-HHF,No,3,Airport Sub,42.405504,-83.028992
74,19945 Hanna,9020412,Homrich,17586.3,HHF,No,3,Nolan,42.440619,-83.09023
75,12399 Maine,9012846,"Adamo Group, Inc.",15200.0,Non-HHF,No,3,Campau/Banglatown,42.40818,-83.067803
76,16226 Inverness,8009781,Homrich,22807.0,HHF,No,2,Martin Park,42.412093,-83.12247099999999
77,15633 Inverness,8009898,Dore & Associates,21600.0,Non-HHF,No,2,Pilgrim Village,42.407362,-83.12296500000001
78,15617 Inverness,8009901,Blue Star,15005.5,HHF,No,2,Pilgrim Village,42.407115000000005,-83.12295300000001
79,19926 Greeley,9019336,Homrich,19772.3,HHF,No,3,Nolan,42.440417,-83.087647
80,2201 Kendall,8004917,Blue Star,18548.5,HHF,No,2,Oakman Blvd Community,42.399309,-83.118981
81,2046 Kendall,8004958,Blue Star,18565.5,HHF,No,2,Oakman Blvd Community,42.399834999999996,-83.118797
82,15758 Joslyn,8007281,Homrich,23756.0,HHF,No,2,Pilgrim Village,42.408921,-83.116235
83,969 Adeline St,1007780,Smalley,10500.0,Non-HHF,No,2,Penrose,42.438254,-83.11368399999999
84,15651 La Salle Blvd,8010443,Homrich,22730.0,HHF,No,2,Pilgrim Village,42.407548,-83.125419
85,15738 Linwood,8010751,Homrich,16948.0,HHF,No,2,Pilgrim Village,42.407087,-83.127144
86,15852 Linwood,8010765,Homrich,26825.0,HHF,No,2,Pilgrim Village,42.408553999999995,-83.127213
87,2131 Leland,9001997,Salenbien Trucking & Excavating Inc.,14605.97,HHF,No,5,McDougall-Hunt,42.357631,-83.039077
88,19696 Riopelle,09018627-8,"Adamo Group, Inc.",1928.0,Non-HHF,No,3,Nolan,42.439002,-83.086383
89,17215 Riopelle,9018932,Able Demolition,13635.0,Non-HHF,No,3,Cadillac Heights,42.419999,-83.086344
90,3610 St Aubin,9004521,DMC Consultants,24229.0,Non-HHF,No,5,McDougall-Hunt,42.355523,-83.03815999999999
91,19735 Cardoni,9021283,Gayanga Co,17920.0,Non-HHF,No,3,Nolan,42.439371,-83.09208100000001
92,1940 Grand,8004662,DMC Consultants,13600.0,Non-HHF,No,2,Oakman Blvd Community,42.397785999999996,-83.115214
93,15622 Log Cabin,8009462,Homrich,23877.0,HHF,No,2,Pilgrim Village,42.407152,-83.121036
94,2439 Halleck,9005630,Gayanga Co,9230.0,Non-HHF,No,3,Campau/Banglatown,42.407106,-83.0695
95,15767 Linwood,12010898,Homrich,20400.0,Non-HHF,No,2,Pilgrim Village,42.407492,-83.127871
96,15744 Wildemere,12005763,Blue Star,14465.5,HHF,No,2,Pilgrim Village,42.407167,-83.132253
97,15720 Princeton,12010982,Homrich,22359.0,HHF,No,2,Pilgrim Village,42.406855,-83.12831800000001
98,3078 24th St,12008624,Den-Man Contractors,24510.0,Non-HHF,No,6,Chadsey Condon,42.333152,-83.092742
99,6088 Beechwood,16011483,Gayanga Co,13036.0,Non-HHF,No,6,Midwest,42.349108,-83.11873
100,12061 Santa Rosa,16020860,Able Demolition,26371.0,HHF,No,7,Oakman Blvd Community,42.377052,-83.141595
101,20247 Binder,13021294,Able Demolition,15723.42,HHF,No,3,Farwell,42.444787,-83.065125
102,20241 Binder,13021295,Able Demolition,15540.42,HHF,No,3,Farwell,42.444677,-83.065118
103,19209 Harned,13024214,Blue Star,27172.0,HHF,No,3,Pershing,42.434492,-83.073927
104,19967 Anglin,13024370,Blue Star,15062.0,HHF,No,3,Butler,42.441336,-83.075401
105,19651 Anglin,13024388,Blue Star,16338.0,HHF,No,3,Pershing,42.438615999999996,-83.07526999999999
106,19635 Anglin,13024390,Blue Star,15477.8,HHF,No,3,Pershing,42.438404,-83.075263
107,19627 Anglin,13024391,Blue Star,14066.8,HHF,No,3,Pershing,42.438294,-83.07526
