Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude
16143 Pinehurst,16044294.,Homrich,"13,500.00",HHF,06/08/2015,No,2,Harmony Village,42.410297,-83.166896
20410 Monte Vista,16044835.,Homrich,"17,200.00",HHF,06/09/2015,No,2,Pembroke,42.443372,-83.16865200000001
11118 Schaefer,22029717.,"Adamo Group, Inc.","15,468.00",HHF,08/10/2015,No,7,Plymouth-Hubbell,42.370394,-83.177541
11110 Schaefer,22029716.,"Adamo Group, Inc.","17,164.00",HHF,08/24/2015,No,7,Plymouth-Hubbell,42.370284999999996,-83.177536
9928 Schaefer,22029702.,"Adamo Group, Inc.","10,667.00",HHF,08/10/2015,No,7,Plymouth-Hubbell,42.368748,-83.17747800000001
9915 Meyers,22020624.002,"Adamo Group, Inc.","21,402.00",HHF,07/31/2015,No,7,Barton-McFarland,42.369133000000005,-83.168409
9695 Meyers,22020624.005,"Adamo Group, Inc.","19,832.00",HHF,07/31/2015,No,7,Barton-McFarland,42.368774,-83.168392
9551 Meyers,22020631.004,"Adamo Group, Inc.","21,822.00",HHF,07/31/2015,No,7,Barton-McFarland,42.366762,-83.168295
9360 Schaefer,22029678.001,"Adamo Group, Inc.","16,424.00",HHF,08/07/2015,No,7,We Care Community,42.364453000000005,-83.17731500000001
8920 Schaefer,22029651.001,"Adamo Group, Inc.","16,554.00",HHF,08/07/2015,No,7,We Care Community,42.360403999999996,-83.177181
9280 Ward,22024569.,Able Demolition,"11,004.96",Non-HHF,05/08/2017,No,7,Barton-McFarland,42.363504,-83.172413
9220 Ward,22024559.,"Adamo Group, Inc.","21,373.00",HHF,08/18/2015,No,7,Barton-McFarland,42.3627,-83.172391
8890 Ward,22024529-30,Able Demolition,"13,464.56",HHF,03/17/2017,No,7,Barton-McFarland,42.360079999999996,-83.172314
9331 Sorrento,22024388.,"Adamo Group, Inc.","22,410.00",HHF,08/17/2015,No,7,Barton-McFarland,42.364262,-83.171914
9137 Sorrento,22024415.,"Adamo Group, Inc.","21,502.00",HHF,08/17/2015,No,7,Barton-McFarland,42.361549,-83.17184499999999
8841 Sorrento,22024437.,"Adamo Group, Inc.","22,111.00",HHF,08/17/2015,No,7,Barton-McFarland,42.359332,-83.171778
9254 Sorrento,22023320.,"Adamo Group, Inc.","22,181.00",HHF,08/17/2015,No,7,Barton-McFarland,42.363197,-83.171204
9220 Sorrento,22023315.,"Adamo Group, Inc.","22,491.00",HHF,08/17/2015,No,7,Barton-McFarland,42.362716999999996,-83.171188
9150 Sorrento,22023305.,Able Demolition,"29,344.29",HHF,02/10/2017,No,7,Barton-McFarland,42.361757,-83.171157
9144 Sorrento,22023304.,"Adamo Group, Inc.","22,478.00",HHF,08/17/2015,No,7,Barton-McFarland,42.361661,-83.171154
9387 Steel,22023145.,"Adamo Group, Inc.","20,771.00",HHF,08/17/2015,No,7,Barton-McFarland,42.365056,-83.170705
9343 Steel,22023151.,"Adamo Group, Inc.","22,419.00",HHF,08/17/2015,No,7,Barton-McFarland,42.36448,-83.170692
15750 Greenlawn,16029365.,Able Demolition,"10,807.00",HHF,06/29/2016,No,2,Fitzgerald/Marygrove,42.406953,-83.150413
18900 Biltmore,22064089.016,Direct Construction Services,"6,457.39",Non-HHF,02/10/2016,No,2,College Park,42.428535,-83.211313
20037 Manor,16045576.,Homrich,"11,700.00",HHF,07/05/2016,No,2,McDowell,42.440468,-83.170275
15091 Kentfield,22100755.,Homrich,"12,700.00",HHF,06/18/2015,No,1,Brightmoor,42.399401,-83.240779
10670 W Outer Drive,22125743.,Homrich,"10,200.00",HHF,06/18/2015,No,1,Brightmoor,42.398286,-83.240893
14635 Kentfield,22100785.,Homrich,"13,700.00",HHF,06/16/2015,No,1,Brightmoor,42.395343,-83.240634
15312 Burt Rd,22107663.,Homrich,"17,700.00",HHF,06/29/2015,No,1,Brightmoor,42.400890999999994,-83.246786
16570 Stout,22101330.,Homrich,"13,900.00",HHF,06/15/2015,No,1,McNichols Evergreen,42.410561,-83.241628
16103 Kentfield,22100686.,Homrich,"16,300.00",HHF,07/29/2015,No,1,Miller Grove,42.407954,-83.24106
16915 Greydale,22112899.,Able Demolition,"25,314.00",HHF,02/26/2016,No,1,Miller Grove,42.414235,-83.256547
20485 Greenlawn,16029681.,Able Demolition,"14,214.49",HHF,03/30/2017,No,2,Garden Homes,42.44468,-83.152649
16260 Kentucky,16036563.,Homrich,"21,600.00",HHF,05/13/2015,No,2,Fitzgerald/Marygrove,42.412039,-83.158722
16210 Kentucky,16036556.,Homrich,"23,300.00",HHF,09/23/2015,No,2,Fitzgerald/Marygrove,42.411357,-83.158692
