Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Chile,9193,9747,10744,11287,11725,12759,13498,14186,14450,14159,14614,14925,15075,15499,16260,16985,17554,18278,18698,18329,19204,20141,21050,21746,21967,22465
China,1516,1634,1845,2078,2323,2551,2775,3000,3205,3419,3678,3955,4285,4685,5127,5675,6360,7225,7880,8565,9430,10274,11017,11805,12609,13334
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,7752,7776,8014,8052,8366,8643,8664,8804,8701,8194,8414,8415,8488,8683,9005,9286,9759,10278,10489,10511,10777,11332,11636,12054,12447,12761
Comoros,1595,1473,1561,1569,1451,1467,1413,1434,1416,1407,1391,1517,1513,1505,1495,1498,1499,1472,1440,1431,1426,1427,1435,1450,1459,1472
"Congo, Dem. Rep.",1270,1120,963,801,742,724,698,645,622,583,531,506,507,520,539,556,569,588,607,607,632,657,685,724,768,809
"Congo, Rep.",5264,5249,5248,5062,4659,4715,4782,4618,4657,4413,4623,4680,4778,4702,4745,4978,5138,4905,5022,5236,5533,5569,5631,5680,5905,6220
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,7333,7337,7816,8196,8378,8495,8357,8603,9095,9610,9564,9465,9548,9972,10212,10629,11371,12079,12219,11914,12322,12694,13162,13427,13713,14132
Cote d'Ivoire,3234,3128,3019,2918,2851,2964,3103,3131,3202,3178,3049,2999,2904,2825,2820,2828,2827,2831,2854,2892,2892,2706,2928,3123,3324,3491
Croatia,17890,14020,12269,11182,11764,12543,13797,14463,14965,14652,15644,16130,16977,17920,18656,19420,20358,21426,21873,20283,19989,20571,20183,20049,20060,20260
Cuba,13670,12113,10637,9001,9018,9195,9871,10106,10086,10674,11268,11588,11715,12123,12791,14200,15901,17055,17765,18035,18477,19005,19586,20122,20704,21291
Cyprus,23802,23366,24891,24467,25380,26445,26450,26704,27721,28698,30005,30745,31373,31858,32812,33592,34528,35455,35828,34166,33747,32983,31710,30081,29673,29797
Czech Republic,19839,17577,17470,17462,17964,19093,19934,19821,19777,20082,21003,21726,22126,22930,24057,25571,27256,28595,29128,27560,28111,28603,28333,28124,28695,29437
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,33256,33601,34152,34008,35766,36670,37521,38584,39297,40321,41693,41886,41947,41996,42993,43919,45437,45609,45017,42498,42997,43314,42869,42483,42777,43495
Djibouti,3050,2811,2736,2505,2440,2315,2181,2127,2092,2103,2079,2090,2114,2150,2202,2240,2315,2399,2502,2590,2665,2767,2807,2903,3016,3139
Dominica,6661,6709,6833,6926,7009,7148,7359,7510,7936,8035,8091,8131,7972,8554,8799,8764,9172,9713,10425,10289,10375,10333,10149,10011,10207,10503
Dominican Republic,5278,5222,5657,5949,5973,6188,6514,6918,7283,7649,7955,7974,8307,8162,8147,8772,9568,10233,10408,10363,11075,11241,11391,11790,12505,12837
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,7542,7685,7672,7652,7805,7811,7781,7951,8045,7511,7444,7593,7753,7814,8300,8582,8802,8840,9244,9143,9311,9882,10233,10541,10774,10996
Egypt,6020,5974,6134,6212,6360,6553,6774,7036,7207,7528,7807,7955,8013,8134,8328,8556,8990,9467,9974,10267,10615,10629,10683,10731,10792,11031
El Salvador,4454,4545,4811,5086,5318,5589,5626,5817,5994,6165,6266,6345,6469,6595,6693,6907,7148,7391,7450,7180,7237,7352,7442,7515,7613,7776
Equatorial Guinea,1050,1005,1310,1406,1586,1803,2907,7037,8437,10273,11768,18637,21586,23856,31942,36200,33468,36788,40143,35880,34431,35150,35282,32654,30783,31087
Eritrea,850,939,1040,1175,1416,1438,1542,1623,1603,1550,1446,1511,1491,1389,1351,1332,1272,1246,1088,1095,1083,1139,1180,1157,1140,1129
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,13260,12008,10523,9870,9870,10464,11245,12709,13705,13723,14877,15894,16974,18359,19665,21651,24047,26066,24743,21137,21710,23576,24761,25254,25865,26812
Ethiopia,653,585,516,564,562,578,630,630,591,604,623,656,647,615,679,738,796,863,931,986,1081,1171,1240,1336,1432,1520
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,5694,5488,5751,5792,6002,6073,6291,6087,6108,6594,6444,6548,6745,6804,7149,7169,7253,7128,7129,6959,7098,7228,7303,7502,7735,7925
Finland,28599,26761,25726,25414,26301,27303,28210,29884,31423,32743,34517,35327,35834,36461,37783,38700,40115,42016,42122,38455,39425,40251,39489,38788,38569,38923
France,29476,29707,30033,29719,30303,30823,31141,31756,32764,33707,34774,35197,35333,35371,36090,36395,37001,37641,37505,36215,36745,37328,37227,37309,37218,37599
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,19358,19995,18868,19101,19298,19738,19933,20545,20729,18413,17630,17579,17126,17105,16822,17069,16059,16693,15800,15238,15982,16590,17252,17580,17912,18627
Gambia,1517,1510,1513,1515,1475,1448,1439,1468,1477,1527,1564,1606,1506,1559,1617,1552,1521,1528,1566,1615,1667,1545,1584,1608,1555,1644
Georgia,8018,6282,3435,2410,2181,2298,2621,2951,3072,3185,3269,3451,3664,4096,4346,4716,5116,5760,5900,5642,5938,6322,6702,6930,7233,7474
Germany,31476,32844,33221,32689,33375,33843,34008,34578,35254,35931,36953,37517,37458,37167,37614,37901,39352,40693,41199,38975,40632,42080,42959,42887,43444,44053
Ghana,1920,1965,1985,2024,2036,2066,2110,2148,2199,2244,2273,2306,2350,2409,2479,2558,2652,2751,2907,2934,3091,3446,3685,3873,3953,4099
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,21085,21528,21442,20906,21147,21426,21905,22739,23535,24152,25030,25884,26625,28303,29604,29768,31399,32408,32197,30780,29190,26675,24991,24159,24502,25430
Greenland,17371,17295,16391,15569,16500,17117,17372,17613,18955,19182,20499,20699,20426,20278,21086,21846,23031,23858,24413,23789,24966,25730,26213,26688,27216,27763
Grenada,7488,7646,7565,7283,7401,7522,7785,8117,8633,9489,9650,9433,9734,10627,10529,11892,11380,12042,12116,11273,11178,11219,11046,11273,11400,11593
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,5315,5383,5514,5598,5691,5836,5873,5992,6149,6239,6313,6305,6389,6390,6429,6475,6658,6906,6960,6826,6849,6957,6985,7063,7181,7279
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,1128,1097,1068,1059,1046,1049,1061,1089,1107,1130,1139,1161,1200,1194,1200,1210,1212,1203,1230,1194,1185,1200,1216,1213,1179,1225
Guinea-Bissau,1564,1607,1588,1585,1599,1632,1781,1855,1305,1289,1330,1329,1287,1266,1273,1299,1300,1313,1326,1340,1368,1457,1391,1362,1363,1386
Guyana,3231,3432,3703,4001,4331,4533,4872,5153,5041,5166,5071,5163,5197,5124,5270,5140,4837,5143,5208,5344,5542,5808,6054,6336,6545,6816
Haiti,2242,2208,1873,1799,1621,1672,1710,1726,1733,1748,1734,1688,1657,1637,1557,1562,1576,1607,1600,1628,1518,1580,1603,1648,1670,1710
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,3205,3219,3308,3423,3293,3344,3385,3475,3500,3362,3483,3505,3563,3651,3801,3952,4128,4297,4391,4200,4270,4345,4131,4154,4214,4270
"Hong Kong, China",26974,28277,29789,31097,32240,32358,32272,33636,31394,31875,34017,33956,34366,35487,38274,40923,43521,45937,46635,45390,48108,50086,50347,51656,52552,53874
Hungary,16930,14926,14474,14407,14852,15095,15126,15667,16365,16943,17707,18411,19292,20079,21087,22029,22938,23091,23334,21839,22062,22524,22306,22708,23609,24200
Iceland,28666,28272,26977,27055,27789,27671,28839,30009,31601,32521,33599,34403,34252,34938,37482,39108,39818,42598,42294,39979,38809,39619,39925,40958,41237,42182
India,1777,1760,1821,1871,1959,2069,2186,2235,2332,2496,2548,2628,2684,2850,3029,3262,3514,3806,3901,4177,4547,4787,4967,5244,5565,5903
Indonesia,4548,4868,5131,5412,5727,6111,6478,6683,5721,5684,5878,6005,6186,6389,6615,6892,7168,7516,7856,8108,8498,8907,9327,9729,10099,10504
Iran,9511,10502,10792,10500,10344,10477,11043,11216,11311,11327,11719,11977,12712,13454,13975,14452,15127,15903,15955,16123,16980,17425,16068,15552,15573,15573
Iraq,11212,3921,5048,6379,6420,6353,6834,8027,10490,11958,11764,11684,10567,6873,10311,10489,11271,11157,11616,11992,12330,13248,14545,15368,14018,14646
Ireland,22468,22770,23371,23881,25156,27439,29695,32568,34985,38122,41198,42686,44423,44998,46205,47775,49048,50001,47713,44222,43860,44913,44673,44640,46633,47758
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,17152,17394,17749,18244,19010,22550,23240,23544,24009,24263,25739,25167,24650,24470,25256,25891,26908,28091,28562,28419,29509,30183,30518,30927,31180,31590
Italy,30746,31198,31437,31149,31813,32731,33143,33733,34269,34798,36073,36692,36729,36622,36962,37130,37761,38125,37475,35260,35753,35901,34813,33827,33078,33297
Jamaica,7391,7697,7792,8463,8514,8644,8531,8354,8086,8115,8139,8197,8349,8500,8651,8803,8954,9047,8951,8526,8370,8485,8521,8607,8462,8606
Japan,29550,30437,30610,30587,30746,31224,31958,32391,31656,31535,32193,32230,32248,32721,33483,33916,34468,35183,34800,32880,34404,34316,34988,35614,35635,36162
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,7057,6426,7242,7242,7312,7516,7443,7481,7503,7566,7695,7903,8160,8292,8788,9293,9818,10386,10897,11243,11256,11292,11340,11405,11496,11752
Kazakhstan,12729,11258,10669,9751,8647,8079,8243,8517,8500,8813,9706,11035,12116,13198,14365,15619,17109,18419,18797,18527,19601,20772,21506,22470,23092,23468
Kenya,2376,2332,2239,2177,2168,2199,2227,2179,2194,2187,2143,2166,2120,2124,2173,2240,2319,2416,2358,2371,2503,2585,2631,2706,2776,2898
Kiribati,1453,1365,1388,1418,1468,1434,1500,1559,1702,1676,1804,1785,1763,1801,1826,1792,1683,1782,1803,1765,1729,1750,1772,1796,1822,1824
North Korea,2076,1973,1745,1619,1605,1442,1393,1230,1267,1377,1287,1368,1375,1405,1410,1464,1461,1392,1427,1407,1393,1397,1393,1392,1391,1390
South Korea,12087,13130,13744,14466,15577,16798,17835,18687,17493,19233,20757,21536,23008,23566,24628,25541,26734,28063,28650,28716,30440,31327,31901,32684,33629,34644
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,15393,10929,7666,5429,5166,5403,5762,6137,5604,4353,4648,5898,5853,6198,6356,6735,6982,7431,7566,7756,7949,8227,8387,8613,8810,9021
Kuwait,37521,18820,50924,69683,75577,82268,82811,82227,80971,75316,75219,72922,72630,82466,88010,92665,94642,94915,91966,81025,75365,79102,81080,79395,83394,82633
Kyrgyz Republic,3475,3150,2681,2266,1812,1696,1790,1939,1950,1991,2075,2164,2144,2271,2401,2370,2418,2599,2791,2837,2790,2921,2870,3121,3169,3245
Lao,1622,1644,1686,1736,1828,1908,1993,2084,2123,2237,2327,2424,2533,2651,2780,2930,3126,3298,3483,3668,3901,4133,4381,4667,4925,5212
