Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
St. Kitts and Nevis,14258,14253,14600,15395,15979,16362,17231,18190,18189,18904,19086,19746,19801,18995,19565,21064,21997,22327,22961,21416,20479,20582,20098,20620,21688,21896
St. Lucia,7979,8077,8536,8655,8677,8854,9213,9125,9574,9673,9980,9507,9413,9771,10455,10158,10858,10636,10843,10759,10515,10535,10275,10152,9917,9997
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,5726,5745,6166,6170,5983,6044,6127,6945,7310,7635,7571,7693,8168,8779,9126,9337,10038,10357,10517,10287,9935,9883,9997,10177,10131,10435
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,3649,3539,3500,3608,3483,3686,3925,3929,3997,4066,4326,4601,4773,4958,5155,5335,5406,5711,5731,5418,5405,5675,5654,5502,5525,5558
San Marino,34215,34302,34112,36612,38698,41846,43518,44268,47258,51019,51350,53121,51953,52589,53723,53928,55241,56644,54401,47221,44525,43092,41105,39209,39614,40075
Sao Tome and Principe,2254,2235,2207,2190,2196,2197,2186,2164,2174,2186,2157,2188,2191,2291,2341,2321,2546,2524,2673,2701,2743,2801,2837,2876,2923,3003
Saudi Arabia,35681,37688,38237,37182,36526,35870,36531,37060,37671,36746,37531,36387,34875,35859,37556,38892,39958,41464,44189,44276,45598,49230,50916,51294,52096,52469
Senegal,1856,1846,1813,1782,1731,1774,1764,1774,1834,1904,1916,1953,1915,1988,2049,2106,2099,2143,2162,2153,2182,2163,2174,2185,2206,2251
Serbia,14457,13278,9531,6622,6786,7167,7348,7899,8121,7161,7741,8141,8725,9134,9983,10568,11130,11833,12522,12180,12301,12572,12505,12889,12717,12908
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,14116,14351,15185,15893,15507,15097,15609,17272,18361,18341,18453,18018,17693,16832,16412,17803,19086,20968,20065,19765,20364,22556,23685,24805,25038,25684
Sierra Leone,1334,1361,1109,1135,1124,1041,1061,996,1006,969,1006,900,1087,1133,1154,1158,1185,1249,1289,1304,1347,1400,1582,1865,1959,2085
Singapore,34316,35583,36978,40213,43231,44884,46342,48528,45863,48271,51663,49809,51435,54515,58977,61921,65331,68375,65991,63644,72056,74949,75630,77721,78958,80794
Slovak Republic,14366,12223,11364,11536,12204,12879,13720,14525,15085,15039,15242,15778,16528,17433,18351,19549,21162,23416,24670,23334,24438,25066,25424,25759,26355,27204
Slovenia,19147,17370,16351,16748,17576,18240,18894,19887,20585,21655,22488,23115,23972,24639,25694,26677,28096,29878,30816,28157,28377,28492,27682,27368,28059,28550
Solomon Islands,1793,1847,2024,2045,2171,2284,2257,2163,2142,2074,1731,1550,1468,1523,1557,1602,1672,1753,1835,1709,1787,1975,2024,2041,2030,2047
Somalia,930,921,813,817,644,637,648,613,607,605,603,603,607,611,614,616,615,615,615,615,614,614,616,619,621,624
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,10364,10049,9631,9546,9643,9730,9925,9952,9770,9766,9927,9988,10213,10382,10715,11133,11597,12052,12263,11903,12087,12291,12375,12454,12446,12509
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,24126,24684,24831,24498,25015,25645,26270,27167,28238,29353,30647,31488,31866,32293,32745,33396,34206,34845,34676,33142,32994,32674,31971,31681,32270,32979
Sri Lanka,3340,3442,3561,3759,3915,4075,4184,4396,4550,4677,4946,4949,5111,5344,5559,5843,6223,6586,6907,7080,7572,8112,8856,9426,10043,10624
Sudan,1753,1830,1892,1918,1879,1934,1992,2142,2175,2183,2258,2338,2419,2533,2557,2672,2858,3097,3246,3259,3282,3524,3856,3903,3940,3975
Suriname,10625,10759,10588,9690,9873,9848,9839,10263,10283,10054,9908,10214,10502,10979,11836,12225,12553,13059,13470,13747,14325,14942,15254,15556,16649,17125
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,4844,4793,4835,4887,4909,5043,5125,5167,5189,5243,5257,5263,5320,5410,5533,5618,5733,5847,5887,5860,5862,5846,5910,5998,6058,6095
Sweden,30901,30340,29813,29028,30000,31044,31465,32360,33709,35208,36816,37292,37941,38702,40216,41184,42873,44005,43421,40820,42898,43709,43263,43448,44029,44892
Switzerland,46600,45599,45080,44615,44823,44738,44809,45734,46942,47486,49083,49479,49177,48837,49882,51069,52786,54483,55020,53179,54183,54551,54573,54983,55776,56118
Syria,3809,3991,4399,4498,4693,4894,5246,5385,5620,5291,5188,5232,5474,5341,5546,5738,5888,6094,6246,6497,6603,6358,6432,5464,5105,4637
Taiwan,20432,21996,23207,24595,26091,27307,28866,30613,31879,32852,34205,32912,34259,34840,36032,36825,37661,38761,36526,36491,39085,39059,39482,40214,41376,42948
Tajikistan,3635,3302,2300,1891,1465,1266,1040,1045,1086,1111,1186,1285,1398,1522,1645,1719,1800,1898,2001,2029,2110,2212,2320,2432,2533,2582
Tanzania,1471,1453,1413,1384,1362,1369,1392,1405,1421,1454,1488,1538,1607,1673,1756,1848,1880,1980,2030,2076,2143,2243,2288,2382,2472,2571
Thailand,6369,6841,7333,7882,8529,9239,9689,9454,8363,8633,8939,9028,9399,9962,10497,10901,11400,11940,12216,11915,12822,12798,13586,13932,13986,14512
Timor-Leste,1046,1121,1195,1273,1365,1477,1644,1741,1738,1132,1322,1507,1363,1283,1244,1301,1206,1323,1486,1652,1777,1940,2040,2093,2173,2086
Togo,1350,1306,1223,1014,1138,1198,1272,1418,1351,1349,1305,1251,1207,1235,1228,1211,1228,1224,1219,1230,1246,1273,1314,1346,1387,1433
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,3572,3795,3800,3937,4125,4269,4256,4235,4331,4478,4605,4745,4878,4953,4959,5006,4920,4664,4748,4772,4945,5023,5032,4879,4962,5069
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,13464,13735,13426,13158,13562,14046,14561,14928,16064,16739,17721,18383,19773,22519,24175,25439,28790,30008,30875,29383,29321,28743,29086,29469,29820,30113
Tunisia,5502,5604,5920,5991,6031,6055,6393,6649,6879,7201,7464,7699,7752,8094,8468,8707,9109,9585,9938,10187,10411,10235,10609,10768,10825,11126
Turkey,10670,10568,10920,11569,10857,11530,12190,12911,13008,12381,13025,12106,12669,13151,14187,15176,16013,16551,16454,15467,16674,17908,18057,18579,18884,19360
Turkmenistan,8353,7748,6402,6320,5094,4623,4841,4221,4460,5132,5351,5521,5477,5598,5817,6505,7137,7834,8877,9303,10032,11361,12460,13555,14762,15865
Turks and Caicos Islands,10751,11226,11612,12229,13055,13317,13962,14440,15429,16100,16099,16305,15544,16045,17013,18734,20690,21458,22431,19240,20095,20878,20292,20278,20107,20068
Tuvalu,2369,2441,2496,2586,2839,2686,2515,2757,3172,3109,3064,3097,3321,3190,3129,2995,3048,3230,3480,3319,3222,3488,3489,3528,3548,3622
Uganda,767,782,781,818,842,910,961,979,996,1043,1042,1060,1115,1147,1184,1217,1304,1367,1437,1490,1515,1607,1622,1621,1638,1680
Ukraine,10490,9588,8633,7401,5732,5073,4606,4509,4463,4496,4809,5305,5637,6217,7022,7265,7848,8519,8762,7498,7844,8282,8319,8338,8267,8449
United Arab Emirates,114832,109658,107416,103224,104855,106425,106923,109553,104107,101940,108048,105860,105346,109675,110662,102324,95637,82993,73029,60955,56644,56192,57028,59092,60578,60749
United Kingdom,26424,26017,26062,26688,27691,28317,28998,29662,30614,31474,32543,33282,33954,35250,35910,36665,37504,38164,37739,35840,36240,36549,36535,36908,37614,38225
United States,37062,36543,37321,37844,38892,39476,40501,41812,43166,44673,45986,45978,46367,47260,48597,49762,50599,51011,50384,48558,49373,49781,50549,51282,52118,53354
Uruguay,9841,10118,10841,11048,11766,11513,12068,13007,13508,13177,12876,12359,11401,11500,12081,12978,13489,14336,15317,15912,17095,17916,18447,19321,19929,20438
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,3032,2953,2561,2446,2274,2213,2208,2280,2340,2414,2471,2543,2612,2691,2865,3030,3211,3467,3733,3968,4185,4412,4705,5002,5320,5598
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,2550,2557,2548,2494,2647,2610,2615,2693,2761,2720,2823,2664,2467,2508,2542,2610,2761,2833,2944,2970,2948,2916,2902,2895,2837,2912
Venezuela,14539,15577,16143,15829,15124,15390,15044,15680,15416,14216,14461,14673,13129,11894,13820,14981,16178,17298,17911,17056,16536,16960,17642,17614,16666,15753
West Bank and Gaza,2264,2027,2386,2521,2722,2788,2860,3392,4163,4788,4206,3836,3685,3922,4163,4506,4193,4015,3564,4187,4163,4359,4842,4498,4493,4319
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,1501,1562,1667,1770,1895,2042,2197,2339,2437,2515,2650,2778,2920,3085,3278,3485,3687,3907,4085,4260,4486,4717,4912,5125,5370,5623
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,3441,3482,3578,3536,3598,3644,3676,3746,3857,3892,4017,4053,4094,4129,4177,4295,4320,4354,4420,4494,4534,3761,3765,3832,3866,3887
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,2407,2348,2253,2351,2098,2106,2180,2203,2136,2176,2202,2260,2304,2403,2507,2620,2752,2901,3039,3224,3451,3557,3678,3800,3898,4034
Zimbabwe,2532,2604,2316,2292,2456,2416,2619,2645,2680,2625,2521,2540,2304,1908,1794,1689,1629,1568,1286,1352,1484,1626,1750,1773,1773,1801
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,2013,2089,2137,2141,2125,2132,2183,2338,2407,2518,2684,2769,2855,2976,3045,3221,3455,3756,3776,3799,3838,3505,1810,1965,2574,3047
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,36327,,,,
