School ID,Name of School,"Elementary, Middle, or High School",Street Address,City,ZIP Code,Network Manager,Collaborative Name,Adequate Yearly Progress Made? ,CPS Performance Policy Status,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Teachers Icon ,Teachers Score,Parent Engagement Icon,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students),Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Latitude,Longitude
610038,Abraham Lincoln Elementary School,ES,615 W Kemper Pl ,Chicago,60614,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Not on Probation,Yes,Very Strong,99,Very Strong,99,Strong,74,Strong,66,Strong,Strong,70,Strong,56,Average,47,96.00%,1,96.40%,95.80%,80.1,43.3,89.6,84.9,60.7,62.6,81.9,85.2,52,62.4,66.3,77.9,69.7,64.4,0.2,0.9,Yellow,Green,67.1,54.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,813,33,NDA,41.92449696,-87.64452163
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,7511 S South Shore Dr ,Chicago,60649,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Not on Probation,No,Average,54,Strong,66,Strong,74,Very Strong,84,Strong,Strong,76,Weak,46,Average,50,95.60%,15.7,95.30%,100.00%,62.4,51.7,21.9,15.1,29,42.8,38.5,27.4,44.8,42.7,14.1,34.4,16.8,16.5,0.7,1.4,Green,Green,17.2,27.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,521,46,NDA,41.76032435,-87.55673627
610185,Adlai E Stevenson Elementary School,ES,8010 S Kostner Ave ,Chicago,60652,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Not on Probation,No,Strong,61,NDA,NDA,Average,50,Weak,36,NDA,NDA,NDA,Average,47,Weak,41,95.70%,2.3,94.70%,98.30%,53.7,26.6,38.3,34.7,43.7,57.3,48.8,39.2,46.8,44,7.5,21.9,18.3,15.5,-0.9,-1,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1324,44,NDA,41.74711093,-87.73170248
609993,Agustin Lara Elementary Academy,ES,4619 S Wolcott Ave ,Chicago,60609,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Not on Probation,No,Average,56,Average,44,Average,45,Weak,37,Strong,Average,48,Average,53,Strong,58,95.50%,10.4,95.80%,100.00%,76.9,NDA,26,24.7,61.8,49.7,39.2,27.2,69.7,60.6,9.1,18.2,11.1,9.6,0.9,2.4,Green,Green,42.9,25,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,556,42,NDA,41.8097569,-87.6721446
610513,Air Force Academy High School,HS,3630 S Wells St ,Chicago,60609,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,NDA,Not on Probation,Yes,Average,49,Strong,60,Strong,60,Average,55,Average,Average,54,Average,53,Average,49,93.30%,15.6,96.90%,100.00%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.6,14.8,NDA,16,1.4,NDA,NDA,NDA,NDA,302,40,91.8,41.82814609,-87.63279369
610212,Albany Park Multicultural Academy,MS,4929 N Sawyer Ave ,Chicago,60625,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Not on Probation,No,Strong,66,Weak,37,Strong,66,Strong,71,Average,Average,50,Weak,46,Average,51,97.00%,2.3,96.90%,100.00%,NDA,NDA,NDA,NDA,NDA,NDA,60.7,39.8,53.7,59.8,17.5,20.8,34.5,15.6,0.2,0.3,Yellow,Yellow,29.2,50,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,266,31,NDA,41.9711433,-87.70962725
609720,Albert G Lane Technical High School,HS,2501 W Addison St ,Chicago,60618,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Not on Probation,No,Very Strong,88,NDA,NDA,Strong,62,Average,52,NDA,NDA,NDA,NDA,NDA,NDA,NDA,96.30%,2.1,96.20%,99.40%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,19.1,19.5,19.9,20.1,1,23.4,67.9,92.2,79.8,4368,35,90.7,41.94661693,-87.69105603
610342,Albert R Sabin Elementary Magnet School,ES,2216 W Hirsch St ,Chicago,60622,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Probation,No,Strong,67,NDA,NDA,Weak,30,Very Weak,18,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.70%,28.1,95.00%,100.00%,56.3,NDA,33.5,33.5,49.5,49.5,27.4,39.3,35.5,44.4,25,23.4,18,12.8,-1.8,0.1,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,620,35,NDA,41.90684338,-87.68304259
610524,Alcott High School for the Humanities,HS,2957 N Hoyne Ave ,Chicago,60618,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,NDA,Not on Probation,No,Strong,70,NDA,NDA,Strong,67,Average,51,NDA,NDA,NDA,Strong,57,Weak,43,92.70%,7.1,96.90%,100.00%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.7,13.7,NDA,16,1.3,NDA,NDA,NDA,NDA,232,33,87.6,41.93576106,-87.68052441
610209,Alessandro Volta Elementary School,ES,4950 N Avers Ave ,Chicago,60625,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Not on Probation,No,Average,43,Strong,61,Weak,28,Weak,37,Strong,Average,56,Average,51,Average,53,96.40%,22.5,95.90%,100.00%,63.9,43.2,51.3,32.9,50.7,70,52.5,31.3,59.8,57.6,16.5,24.7,19.9,14.2,0.3,-0.4,Yellow,Yellow,31.6,65.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1023,31,NDA,41.97160605,-87.72464139
609799,Alexander Graham Bell Elementary School,ES,3730 N Oakley Ave ,Chicago,60618,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Not on Probation,No,Very Strong,99,Very Strong,88,Strong,64,Average,46,Average,Average,51,NDA,NDA,NDA,NDA,96.30%,6.3,95.90%,99.30%,91.9,67.3,79.2,77.4,53.3,54.7,84.2,83,49.8,53.6,62.6,71.7,64,57.9,0,0.3,Yellow,Yellow,58.1,65.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,998,35,NDA,41.94952795,-87.68605496
609947,Alexander Graham Elementary School,ES,4436 S Union Ave ,Chicago,60609,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Not on Probation,No,Average,49,Weak,30,Weak,31,Weak,33,Weak,Average,41,Average,48,Average,51,92.50%,27.4,95.00%,92.10%,76.7,47.4,59.4,38.8,51.6,76.2,44.4,31.3,66.7,49.3,5.9,35.3,20.8,11.1,1.7,-0.5,Green,Yellow,45.3,31.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,476,42,NDA,41.81329195,-87.64338051
609963,Alexander Hamilton Elementary School,ES,1650 W Cornelia Ave ,Chicago,60657,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Not on Probation,No,Strong,73,Strong,64,Strong,60,Average,59,Average,Average,48,Strong,57,Strong,54,95.30%,12.5,97.40%,97.40%,70.3,47.2,34.4,48.4,56.5,62.9,31.9,46.8,48.9,51.1,14.3,35.7,13.8,21.3,0.6,0.6,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,307,33,NDA,41.94524725,-87.67085683
610210,Alexander von Humboldt Elementary School,ES,2620 W Hirsch St ,Chicago,60622,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Probation,No,Weak,31,NDA,NDA,Weak,32,Average,45,NDA,NDA,NDA,Weak,43,Weak,44,92.50%,185.5,96.00%,100.00%,NDA,32.6,23.6,24,56.3,54,31.8,19.7,60.7,39.7,9.1,20.5,8.6,5.7,-0.4,-1.2,Yellow,Red,14.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,398,34,NDA,41.90672216,-87.69300325
609808,Alex Haley Elementary Academy,ES,11411 S Eggleston Ave ,Chicago,60628,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Not on Probation,No,Weak,28,NDA,NDA,Average,58,Strong,60,NDA,NDA,NDA,Average,47,Average,49,94.90%,2.9,94.70%,94.70%,51.6,31.4,17.3,13.6,43.7,41.4,36.3,24.5,64.8,53.9,1.8,16.1,11.6,1.9,0.5,-1.5,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,525,48,NDA,41.68663682,-87.63359476
610028,Alfred David Kohn Elementary School,ES,10414 S State St ,Chicago,60628,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Probation,No,Very Weak,19,Weak,26,Weak,22,Very Weak,13,Weak,Very Weak,19,Average,47,Weak,45,90.10%,31.2,94.20%,96.40%,41.3,31.9,34,22.2,42.8,56.2,29.6,22.8,80,61.7,4.3,19.6,5,5.6,0.5,-0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,428,48,NDA,41.70485072,-87.62360199
610098,Alfred Nobel Elementary School,ES,4127 W Hirsch St ,Chicago,60651,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,No,Not on Probation,No,Weak,37,Weak,34,Weak,37,Weak,35,Average,Weak,36,Average,48,Average,51,94.60%,24.8,95.20%,100.00%,55.4,33.2,26.7,23.2,47.3,50,39.2,28.1,59.5,51,15.2,16.7,9.7,7.1,-0.3,0.7,Yellow,Yellow,23.4,44.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,801,34,NDA,41.90612797,-87.72993324
609788,Alice L Barnard Computer Math & Science Center Elementary School,ES,10354 S Charles St ,Chicago,60643,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Not on Probation,No,Average,46,NDA,NDA,Weak,39,Average,58,NDA,NDA,NDA,Strong,69,Average,51,95.60%,28.5,95.00%,100.00%,62.1,38.5,43,38.8,47.4,61.8,45.6,40.4,49.4,61.4,18.5,29.6,18,15.7,1.9,1.9,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,274,49,NDA,41.70514024,-87.65811642
610334,Al Raby High School,HS,3545 W Fulton Blvd ,Chicago,60624,West Side High School Network,WEST SIDE COLLABORATIVE,No,Probation,No,Average,52,NDA,NDA,Average,51,Average,53,NDA,NDA,NDA,NDA,NDA,NDA,NDA,80.30%,14,95.10%,100.00%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.8,13,14.1,14,1.2,15.2,13.5,72.2,64.2,551,34,74.3,41.886183,-87.71539705
610131,Ambrose Plamondon Elementary School,ES,2642 W 15th Pl ,Chicago,60608,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,No,Not on Probation,No,Average,45,NDA,NDA,Weak,32,Weak,28,NDA,NDA,NDA,Weak,45,Weak,41,96.90%,0.6,96.60%,100.00%,61.9,14.3,27.3,37.9,35,54.8,43.5,25,74.4,40,16.7,25,12.3,11.4,-1.5,-1.3,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,171,39,NDA,41.86028668,-87.69250468
610316,Amelia Earhart Options for Knowledge Elementary School,ES,1710 E 93rd St ,Chicago,60617,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Yes,Not on Probation,No,Very Strong,81,Strong,63,Strong,60,Strong,73,Weak,Average,54,NDA,NDA,NDA,NDA,96.30%,33.4,95.40%,100.00%,76.7,NDA,58.1,59.1,66.7,58.1,48.8,67.5,51.3,62.5,NDA,NDA,27.5,26.4,0.1,1,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,264,47,NDA,41.72613498,-87.58217727
609780,Ames Middle School,MS,1920 N Hamlin Ave ,Chicago,60647,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Probation,No,Weak,38,Very Weak,17,Weak,27,Weak,35,Weak,Weak,26,Average,50,Average,50,94.30%,5.3,96.00%,100.00%,NDA,NDA,NDA,NDA,NDA,NDA,35.1,27.9,76.8,51.1,9.2,18.4,14.5,3,-1.9,-1.5,Red,Red,28.8,55,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,586,34,NDA,41.91605519,-87.72177945
610339,Amos Alonzo Stagg Elementary School,ES,7424 S Morgan St ,Chicago,60621,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Probation,No,Weak,23,Weak,35,Weak,35,Average,42,Weak,Average,42,Weak,44,Average,50,91.40%,34.3,95.50%,100.00%,NDA,NDA,35.3,22.4,47.6,58.2,20.1,26.8,49.2,43.9,8,23.5,7.7,7.8,-0.4,-0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,539,45,NDA,41.75892669,-87.6492534
610320,Ana Roque de Duprey Elementary School,ES,2620 W Hirsch St ,Chicago,60622,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Probation,Yes,Average,57,NDA,NDA,Very Weak,12,Very Weak,14,NDA,NDA,NDA,Average,53,Strong,57,95.40%,77.5,95.60%,100.00%,32.1,23.3,56.8,32.4,75.8,75.8,34.9,34.1,53.8,52.5,7.1,28.6,11.1,6.2,0.7,0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,114,34,NDA,41.90672216,-87.69300325
609837,Andrew Carnegie Elementary School,ES,1414 E 61st Pl ,Chicago,60637,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Probation,No,Average,48,Average,51,Weak,37,Strong,63,Average,Weak,31,Average,49,Average,49,94.60%,6.2,94.40%,100.00%,NDA,NDA,40.2,48.3,40.8,52.3,29.8,44.7,32.6,36.2,18.4,38.8,21.4,20.4,-1.2,0.1,Red,Yellow,48.1,8.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,730,46,NDA,41.78339577,-87.59079649
610060,Andrew Jackson Elementary Language Academy,ES,1340 W Harrison St ,Chicago,60607,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Yes,Not on Probation,No,Very Strong,86,NDA,NDA,Average,57,Average,46,NDA,NDA,NDA,NDA,NDA,NDA,NDA,97.40%,0.7,96.10%,100.00%,88.7,NDA,90.3,90.9,70.6,81.2,85.7,90.7,64.8,62.1,72.6,87.1,70.4,62.7,0.6,0.8,Green,Green,48.4,80,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,556,38,NDA,41.87432724,-87.66097599
609869,Anna R. Langford Community Academy,ES,6010 S Throop St ,Chicago,60636,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Probation,No,Weak,31,Weak,31,Average,54,Weak,32,Average,Average,50,Average,53,Average,52,91.80%,29,95.40%,100.00%,58.8,NDA,40,14,52.8,59.8,31.9,17,51.3,44.9,7.7,11.5,12.6,7.5,0.5,0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,339,43,NDA,41.78465652,-87.6572053
610084,Annie Keller Elementary Gifted Magnet School,ES,3020 W 108th St ,Chicago,60655,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Yes,Not on Probation,No,Very Strong,99,Very Strong,97,Very Strong,85,Very Strong,82,Very Strong,Very Strong,82,Strong,68,Strong,60,97.50%,4.9,96.50%,100.00%,100,NDA,100,100,63.4,74.7,96.5,97.7,61.2,76.7,89.3,100,92.8,92.3,1.6,2.3,Green,Green,51.5,70.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,245,49,NDA,41.69719792,-87.6972638
610229,A.N. Pritzker School,ES,2009 W Schiller St ,Chicago,60622,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Not on Probation,No,Average,59,NDA,NDA,Average,58,Strong,61,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.60%,36.5,95.60%,98.50%,56.8,11.8,58.2,58.5,55,55.6,62.9,54.9,57.6,55.1,38.7,50,37.2,34.5,-0.2,0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,669,35,NDA,41.907025,-87.67779555
610277,Anthony Overton Elementary School,ES,221 E 49th St ,Chicago,60615,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Probation,No,Weak,32,NDA,NDA,Strong,64,Strong,76,NDA,NDA,NDA,Average,52,Strong,55,90.50%,24.9,94.90%,100.00%,52,54.8,19.6,16.2,41.1,40,20.4,25,45.1,46.2,0,8.3,8.2,4.3,1.2,0.7,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,436,42,NDA,41.80557578,-87.62012252
609951,Ariel Elementary Community Academy,ES,1119 E 46th St ,Chicago,60653,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Not on Probation,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,Average,51,Average,50,95.50%,5.4,96.00%,100.00%,70.8,34.3,48.4,43,62,58.6,40,47.1,58.6,49.3,14.6,36.6,24.8,14.4,0,-1.6,Yellow,Red,35,28.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,550,42,NDA,41.81133445,-87.5985003
610161,Arna Wendell Bontemps Elementary School,ES,1241 W 58th St ,Chicago,60636,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Probation,No,Weak,33,NDA,NDA,Average,48,Average,59,NDA,NDA,NDA,Average,53,Average,52,94.20%,31.2,95.80%,100.00%,36.4,26.9,25.7,20.8,64.3,64.8,28.7,22.1,54.3,51.9,0,18.8,7.5,4.2,-1.1,-2.5,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,345,43,NDA,41.78857298,-87.65634499
610171,Arnold Mireles Elementary Academy,ES,9000 S Exchange Ave ,Chicago,60617,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Probation,No,Weak,27,NDA,NDA,Average,43,Average,54,NDA,NDA,NDA,Average,48,Average,51,92.80%,11.8,95.20%,98.90%,44,27.5,21.9,15.2,45.4,45.7,23,19.4,46.9,51,6.4,18.2,7.6,5.4,-1.1,-0.7,Red,Red,9.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,905,47,NDA,41.73168217,-87.55282373
610037,Arthur A Libby Elementary School,ES,5300 S Loomis Blvd ,Chicago,60609,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Probation,No,Weak,36,NDA,NDA,Strong,60,Strong,60,NDA,NDA,NDA,Average,48,Average,52,90.80%,21.6,95.10%,100.00%,31.1,37.3,24.7,12,43.2,48.3,32,17.7,55.3,48.3,4.2,14.6,4.8,3.9,-0.4,-2.8,Yellow,Red,18,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,539,43,NDA,41.79764784,-87.65996858
609887,Arthur Dixon Elementary School,ES,8306 S Saint Lawrence Ave ,Chicago,60619,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Not on Probation,No,Average,47,NDA,NDA,Average,47,Average,52,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.80%,32.2,95.60%,100.00%,69.7,35.5,42.8,37.8,51.8,70.8,43.5,44.5,51.3,49.4,22.1,31.6,22,15.7,-0.3,0.7,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,652,45,NDA,41.74365776,-87.61001515
609836,Arthur E Canty Elementary School,ES,3740 N Panama Ave ,Chicago,60634,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Not on Probation,No,Very Strong,87,Strong,64,Strong,70,Strong,64,Average,Average,47,Strong,66,Average,53,96.10%,2.3,96.10%,99.10%,75.3,60.6,77.2,58.3,52.9,62,81.3,71.3,61.4,59.7,41.3,60,47.4,34.2,0.3,0.1,Yellow,Yellow,29.8,100,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,784,30,NDA,41.94799245,-87.8293319
610268,Arthur R Ashe Elementary School,ES,8505 S Ingleside Ave ,Chicago,60619,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Probation,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,Weak,39,Weak,46,87.90%,41.6,93.40%,100.00%,30.1,25.5,20.3,14.3,47.4,54.8,43.4,23.6,61,58.7,7.9,15.8,9.2,2.8,1.1,-0.9,Green,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,459,45,NDA,41.74015307,-87.60113659
609941,Asa Philip Randolph Elementary School,ES,7316 S Hoyne Ave ,Chicago,60636,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Probation,No,Very Weak,15,NDA,NDA,Average,41,Average,48,NDA,NDA,NDA,Weak,45,Average,49,92.10%,43.5,95.30%,95.60%,52.9,52.6,20.2,11.3,40.1,48.1,44.2,21.3,63,50.8,12.1,12.1,13.8,4.5,0.3,-1.3,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,573,43,NDA,41.76059741,-87.67600175
610287,Ashburn Community Elementary School,ES,8300 S Saint Louis Ave ,Chicago,60652,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Not on Probation,No,Average,48,Strong,76,Average,52,Average,40,Strong,Strong,70,Average,51,Average,50,95.50%,28.5,97.10%,100.00%,70.6,61.7,40.4,33.3,55.5,56.2,45.8,36.8,69.9,45.5,22.4,30.6,15.1,9.5,0.4,-0.6,Yellow,Yellow,40.8,40,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,490,44,NDA,41.74233179,-87.70964592
609820,Augustus H Burley Elementary School,ES,1630 W Barry Ave ,Chicago,60657,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Not on Probation,No,Very Strong,99,NDA,NDA,Strong,78,Strong,65,NDA,NDA,NDA,Strong,59,Average,49,96.50%,0.7,95.00%,97.90%,69.4,47,64.5,70.2,51.2,66.7,69.4,75,62.9,67.3,50,69.6,54.2,53.3,1.3,2.1,Green,Green,35.7,80,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,572,33,NDA,41.93796493,-87.66985204
400018,Austin Business and Entrepreneurship Academy High School,HS,231 N Pine Ave ,Chicago,60644,West Side High School Network,WEST SIDE COLLABORATIVE,No,Probation,No,Weak,38,NDA,NDA,Average,41,Weak,33,NDA,NDA,NDA,NDA,NDA,NDA,NDA,76.00%,12.4,0.00%,98.20%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12,12,14.3,12.9,0.9,14.4,12.2,65.6,51.3,316,36,NDA,41.88520477,-87.76321191
610169,Austin O Sexton Elementary School,ES,6020 S Langley Ave ,Chicago,60637,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Probation,No,Weak,23,NDA,NDA,Weak,38,Weak,34,NDA,NDA,NDA,Weak,46,Weak,44,90.50%,8.6,94.10%,100.00%,48.8,NDA,12.7,13.5,56.6,51.9,26.4,33.6,53.1,66.7,3.7,11.1,6.1,5.2,0.2,-0.4,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,337,42,NDA,41.78517099,-87.60866927
610501,Austin Polytechnical Academy High School,HS,231 N Pine Ave ,Chicago,60644,West Side High School Network,WEST SIDE COLLABORATIVE,No,Probation,No,Weak,38,NDA,NDA,Average,45,Average,53,NDA,NDA,NDA,NDA,NDA,NDA,NDA,70.10%,21.5,95.20%,98.60%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12,12.1,13.6,13.1,1.1,14.8,8.5,NDA,NDA,250,36,56.1,41.88520477,-87.76321191
609786,Avalon Park Elementary School,ES,8045 S Kenwood Ave ,Chicago,60619,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Not on Probation,No,Weak,32,Weak,24,Weak,38,Weak,32,Weak,Very Weak,16,Weak,46,Weak,45,92.10%,52.1,96.40%,97.70%,47.8,15.4,11.9,22.3,41.7,40.9,14.8,20.6,42.7,44.1,2.2,24.4,7.9,5.1,1.1,1.2,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,398,47,NDA,41.74826636,-87.59161761
609871,Barbara Vick Early Childhood & Family Center,ES,2554 W 113th St ,Chicago,60655,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,NDA,NDA,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,Strong,66,Strong,60,60.90%,0,95.50%,100.00%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,204,49,NDA,41.68821843,-87.6856634
609922,Belmont-Cragin Elementary School,ES,2456 N Mango Ave ,Chicago,60639,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Not on Probation,No,Strong,75,Very Strong,81,Strong,67,Strong,66,Average,Average,53,Strong,55,Strong,54,95.30%,1.3,96.80%,98.90%,60.7,31.8,22.5,21.3,51.8,55.3,42.9,39,61.7,53.2,0,6.9,11,11,0.2,1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,634,29,NDA,41.92559567,-87.76984337
