School ID,Name of School,"Elementary, Middle, or High School",Street Address,City,ZIP Code,Network Manager,Collaborative Name,Adequate Yearly Progress Made? ,CPS Performance Policy Status,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Teachers Icon ,Teachers Score,Parent Engagement Icon,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students),Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Latitude,Longitude
609919,John Fiske Elementary School,ES,6145 S Ingleside Ave ,Chicago,60637,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Probation,No,Very Weak,13,Weak,24,Weak,37,Average,55,Average,Weak,35,Average,47,Average,50,92.90%,37.1,91.70%,91.40%,87.1,NDA,15.7,14.6,58,54.2,30.1,30.1,69.7,61.8,32.1,28.6,4,4,-1.3,-1.5,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,254,46,NDA,41.78290934,-87.60259685
609718,John F Kennedy High School,HS,6325 W 56th St ,Chicago,60638,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,No,Probation,No,Average,53,Weak,30,Weak,32,Weak,27,Weak,Weak,24,NDA,NDA,NDA,NDA,83.00%,22,94.70%,99.30%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.8,14.1,15.1,15.6,0.8,16.4,24.4,53.3,52.9,1589,44,59.7,41.79042796,-87.78037224
610263,John Foster Dulles Elementary School,ES,6311 S Calumet Ave ,Chicago,60637,AUSL Schools,SOUTH SIDE COLLABORATIVE,No,Probation,No,Average,42,Weak,22,Average,53,Average,42,Weak,Weak,21,Average,51,Strong,55,94.10%,28.2,97.30%,100.00%,91.7,NDA,16.9,19.9,42.3,47.4,15.5,13.1,61.9,48.8,2.5,5.1,9.1,3.8,1.4,0.1,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,537,42,NDA,41.779797,-87.61717494
610228,John Greenleaf Whittier Elementary School,ES,1900 W 23rd St ,Chicago,60608,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,No,Probation,No,Strong,65,NDA,NDA,Average,45,Weak,24,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.90%,3.8,96.50%,100.00%,50.4,NDA,13.3,17.3,35.9,36.2,22.3,21.5,50,45.8,6.4,25.5,6.3,3.9,-0.9,-0.2,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,409,39,NDA,41.85050786,-87.67342126
609694,John Hancock College Preparatory High School,HS,4034 W 56th St ,Chicago,60629,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,No,Probation,No,Average,51,Average,44,Average,44,Average,41,Weak,Average,42,Average,50,Weak,44,78.20%,7.5,95.90%,100.00%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.6,13.8,14.7,15,0.4,15.8,22.6,56.1,45.9,967,44,87.4,41.79149114,-87.72449161
609971,John Harvard Elementary School of Excellence,ES,7525 S Harvard ,Chicago,60620,AUSL Schools,SOUTH SIDE COLLABORATIVE,No,Probation,No,Average,51,Weak,24,Strong,61,Strong,61,Average,Weak,36,Average,47,Strong,55,93.00%,8.7,96.00%,97.80%,NDA,NDA,25.6,28.2,42.7,46.8,50,38.9,58.8,53.1,14.6,23.1,13.8,7.7,1.2,0.4,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,476,45,NDA,41.75733472,-87.63270008
609975,John Hay Elementary Community Academy,ES,1018 N Laramie Ave ,Chicago,60651,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,No,Probation,No,Average,44,NDA,NDA,Average,49,Strong,61,NDA,NDA,NDA,Average,52,Strong,55,92.90%,30.8,97.10%,100.00%,53.8,51.5,45.8,26.8,58,68.4,34.3,34.1,68.7,65.2,0,5.4,11.9,10,0,0.9,Yellow,Green,10.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,554,36,NDA,41.89918473,-87.75585034
609964,John H Hamline Elementary School,ES,4747 S Bishop St ,Chicago,60609,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Not on Probation,No,Weak,33,Weak,24,Weak,29,Average,43,Very Weak,Weak,33,Weak,44,Average,47,94.40%,7.5,95.70%,100.00%,61.7,48.9,39.1,19.5,50.8,67.9,58,26.5,64.5,56.5,9.1,18.2,20.1,6.1,1,-0.2,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,679,42,NDA,41.80726347,-87.66113856
610026,John H Kinzie Elementary School,ES,5625 S Mobile Ave ,Chicago,60638,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Not on Probation,No,Strong,64,NDA,NDA,Average,49,Average,54,NDA,NDA,NDA,Average,50,Average,48,95.40%,14.9,95.30%,99.10%,62,NDA,62.6,42.6,51.6,67.6,68.3,50.2,60,56.4,36.7,40.5,32.6,19.7,0.4,-0.3,Yellow,Yellow,26.5,63.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,733,44,NDA,41.78970398,-87.7791043
610207,John H Vanderpoel Elementary Magnet School,ES,9510 S Prospect Ave ,Chicago,60643,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Yes,Not on Probation,No,Strong,74,NDA,NDA,Weak,24,Weak,31,NDA,NDA,NDA,Strong,55,Average,50,97.20%,0.3,96.20%,100.00%,81.6,69.8,51.7,47.7,53.5,59.8,42.7,54.5,35.7,55.9,11.1,38.9,17.7,24.1,-0.3,1,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,317,49,NDA,41.72078152,-87.66558526
